,country,country_name,type,level,2016,2017,2018,difference,average
257,RS,Serbia,Nuclear,Level 1,0,0,0,0,0
258,RS,Serbia,Hydro,Level 1,11429,9670.033,11453.07,24.07,10850.701
259,RS,Serbia,Pumped hydro power,Level 2,728,598.732,1147.848,419.848,824.86
260,RS,Serbia,Wind,Level 1,26,48.457,150.419,124.419,74.95866667
261,RS,Serbia,Solar,Level 1,12,13.139,12.608,0.608,12.58233333
262,RS,Serbia,Geothermal,Level 1,0,0,0,0,0
263,RS,Serbia,Other,Level 1,0,0,0,0,0
264,TR,Turkey,Conventional thermal,Level 1,174166,199910.043,195153.546,20987.546,189743.1963
265,TR,Turkey,Nuclear,Level 1,0,0,0,0,0
266,TR,Turkey,Hydro,Level 1,66686,57823.851,59865.351,-6820.649,61458.40067
267,TR,Turkey,Pumped hydro power,Level 2,0,0,0,0,0
268,TR,Turkey,Wind,Level 1,15381,17793.167,19825.697,4444.697,17666.62133
269,TR,Turkey,Solar,Level 1,1013,2817.837,7459.485,6446.485,3763.440667
270,TR,Turkey,Geothermal,Level 1,4010,5101.487,6275.373,2265.373,5128.953333
271,TR,Turkey,Other,Level 1,681,811.134,703.126,22.126,731.7533333
272,BA,Bosnia,Conventional thermal,Level 1,10971,11250,4003.505,-6967.495,8741.501667
273,BA,Bosnia,Nuclear,Level 1,0,0,0,0,0
274,BA,Bosnia,Hydro,Level 1,5614,3968,3476.554,-2137.446,4352.851333
275,BA,Bosnia,Pumped hydro power,Level 2,0,197,0,0,65.66666667
276,BA,Bosnia,Wind,Level 1,0,0,22.368,22.368,7.456
277,BA,Bosnia,Solar,Level 1,24,21,0,-24,15
278,BA,Bosnia,Geothermal,Level 1,0,0,0,0,0
279,BA,Bosnia,Other,Level 1,0,0,0,0,0
280,UA,Ukraine,Conventional thermal,Level 1,65415,54041.9,60830.7,-4584.3,60095.86667
281,UA,Ukraine,Nuclear,Level 1,75931,80295.3,84397.9,8466.9,80208.06667
282,UA,Ukraine,Hydro,Level 1,9025,8812,11920.2,2895.2,9919.066667
283,UA,Ukraine,Pumped hydro power,Level 2,1633,1559,0,-1633,1064
284,UA,Ukraine,Wind,Level 1,949,974,1185.9,236.9,1036.3
285,UA,Ukraine,Solar,Level 1,490,737.6,737.8,247.8,655.1333333
286,UA,Ukraine,Geothermal,Level 1,0,0,0,0,0
287,UA,Ukraine,Other,Level 1,79,45,0,-79,41.33333333
288,GE,Georgia,Conventional thermal,Level 1,2135,2131.3,2114.901,-20.099,2127.067
289,GE,Georgia,Nuclear,Level 1,0,0,0,0,0
290,GE,Georgia,Hydro,Level 1,9221,9096.8,9949.387,728.387,9422.395667
291,GE,Georgia,Pumped hydro power,Level 2,0,0,0,0,0
292,GE,Georgia,Wind,Level 1,9,87.7,84.226,75.226,60.30866667
293,GE,Georgia,Solar,Level 1,0,0,0,0,0
294,GE,Georgia,Geothermal,Level 1,0,0,0,0,0
295,GE,Georgia,Other,Level 1,0,0,0,0,0
